gal,wavelength_number,wavelength,AlAv,AlAv_err,tags,ref
MW,3.73424,0.267792107631004,2.02805,0.0230637,iue,Gordon2009
MW,3.71929,0.268868520604739,2.01393,0.0237698,iue,Gordon2009
MW,3.70439,0.269949978269027,2.0147,0.0217698,iue,Gordon2009
MW,3.68956,0.271035028567092,1.98255,0.0231451,iue,Gordon2009
MW,3.67479,0.272124393502758,1.96987,0.0234694,iue,Gordon2009
MW,3.66007,0.273218818219324,1.97065,0.0221487,iue,Gordon2009
MW,3.64541,0.274317566474004,1.9445,0.0220043,iue,Gordon2009
MW,3.63082,0.275419877603406,1.93309,0.0225651,iue,Gordon2009
MW,3.61628,0.276527260057296,1.95049,0.0218849,iue,Gordon2009
MW,3.6018,0.277638958298628,1.92026,0.0214238,iue,Gordon2009
MW,3.58737,0.278755745852811,1.8823,0.0226075,iue,Gordon2009
MW,3.57301,0.279876070875816,1.90472,0.0199234,iue,Gordon2009
MW,3.5587,0.281001489307893,1.91047,0.0210254,iue,Gordon2009
MW,3.54445,0.282131219230064,1.90488,0.0208846,iue,Gordon2009
MW,3.53026,0.283265255250321,1.87021,0.0208468,iue,Gordon2009
MW,3.51612,0.284404400304881,1.88634,0.021534,iue,Gordon2009
MW,3.50204,0.285547852109056,1.87464,0.0201173,iue,Gordon2009
MW,3.48802,0.286695603809611,1.88597,0.0219919,iue,Gordon2009
MW,3.47405,0.287848476561938,1.84753,0.019761,iue,Gordon2009
MW,3.46014,0.289005647170346,1.86308,0.0205099,iue,Gordon2009
MW,3.44628,0.290167949209002,1.8393,0.0203457,iue,Gordon2009
MW,3.43248,0.291334545285042,1.83982,0.0206186,iue,Gordon2009
MW,3.41874,0.292505425975652,1.81921,0.0210671,iue,Gordon2009
MW,3.40505,0.293681443737977,1.81612,0.0209995,iue,Gordon2009
MW,3.39141,0.294862608767445,1.79369,0.0201318,iue,Gordon2009
MW,3.37783,0.29604805452021,1.82415,0.0199858,iue,Gordon2009
MW,3.36431,0.297237769408883,1.80237,0.0191492,iue,Gordon2009
MW,3.35084,0.298432631817693,1.80587,0.0185285,iue,Gordon2009
MW,3.33742,0.299632650370646,1.7588,0.0190833,iue,Gordon2009
MW,3.32405,0.300837833365924,1.77455,0.0181813,iue,Gordon2009
MW,3.31074,0.302047276439708,1.76309,0.0176767,iue,Gordon2009
MW,3.29749,0.303260965158348,1.76982,0.0188425,iue,Gordon2009
MW,3.28428,0.304480738548479,1.73848,0.0177012,iue,Gordon2009
MW,3.27113,0.305704756460306,1.74919,0.0170917,iue,Gordon2009
MW,3.25803,0.306933944745751,1.73011,0.0177921,iue,Gordon2009
MW,3.24499,0.308167359529613,1.7181,0.0158575,iue,Gordon2009
MW,3.23199,0.309406897917382,1.70523,0.0162902,iue,Gordon2009
MW,3.21905,0.310650657802768,1.69983,0.0180801,iue,Gordon2009
MW,3.20616,0.31189959328293,1.70104,0.0178876,iue,Gordon2009
MW,3.19332,0.313153708366214,1.67963,0.0183926,iue,Gordon2009
MW,3.18053,0.314413006637259,1.69661,0.0195394,iue,Gordon2009
MW,3.1678,0.315676494728203,1.69288,0.0186493,iue,Gordon2009
