composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.452368,1.42262E-17,1.42262E-17,3.85314E-24,2.70847E-07,6.86271E-06,0,2.82562E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.475588,1.30029E-17,1.30029E-17,3.13745E-24,2.41288E-07,6.28982E-06,0,3.70559E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.5,1.19677E-17,1.19677E-17,2.56143E-24,2.14029E-07,5.7402E-06,0,4.78606E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.525665,1.10739E-17,1.10739E-17,2.0934E-24,1.89039E-07,5.22056E-06,0,6.08691E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.552647,1.02305E-17,1.02305E-17,1.71153E-24,1.67296E-07,4.74715E-06,0,7.58048E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.581015,9.52988E-18,9.52988E-18,1.40613E-24,1.4755E-07,4.30726E-06,0,9.34853E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.610839,8.86139E-18,8.86139E-18,1.15557E-24,1.30405E-07,3.90876E-06,0,1.13168E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.642193,8.22285E-18,8.22285E-18,9.49491E-25,1.1547E-07,3.54731E-06,0,1.34604E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.675157,7.63159E-18,7.63159E-18,7.81056E-25,1.02345E-07,3.22076E-06,0,1.5784E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.709813,7.08517E-18,7.08517E-18,6.43594E-25,9.08368E-08,2.92794E-06,0,1.82702E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.746248,6.57179E-18,6.57179E-18,5.30414E-25,8.07107E-08,2.66623E-06,0,2.08705E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.784553,6.08432E-18,6.08432E-18,4.37004E-25,7.18246E-08,2.42862E-06,0,2.35279E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.824824,5.62877E-18,5.62877E-18,3.59962E-25,6.39504E-08,2.21538E-06,0,2.6226E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.867162,5.20266E-18,5.20266E-18,2.96612E-25,5.70115E-08,2.0235E-06,0,2.89225E-17
