composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.93164,1.19921E-20,1.19921E-20,1.29784E-26,1.08225E-06,5.00821E-07,1.01782E-77,1.1113E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.03079,8.88713E-21,8.88712E-21,1.06639E-26,1.19992E-06,4.57722E-07,1.66554E-74,8.41692E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.13503,6.59469E-21,6.59468E-21,8.76893E-27,1.3297E-06,4.19051E-07,1.85118E-71,6.33236E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.24463,4.93735E-21,4.93734E-21,7.20743E-27,1.45978E-06,3.82881E-07,1.43497E-68,4.76977E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.35984,3.78057E-21,3.78056E-21,5.92176E-27,1.56637E-06,3.50705E-07,8.00731E-66,3.64727E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.48097,3.01796E-21,3.01796E-21,4.86456E-27,1.61187E-06,3.20394E-07,3.33548E-63,2.88687E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.60832,2.56832E-21,2.56831E-21,3.99947E-27,1.55723E-06,2.92353E-07,1.078E-60,2.41924E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.74221,2.37389E-21,2.37388E-21,3.2871E-27,1.38469E-06,2.67148E-07,2.79708E-58,2.18746E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,2.88297,2.43758E-21,2.43757E-21,2.69953E-27,1.10746E-06,2.43736E-07,6.04835E-56,2.18341E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,3.03095,2.98407E-21,2.98407E-21,2.21737E-27,7.43068E-07,2.22998E-07,1.18624E-53,2.58253E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,3.18653,7.49388E-21,7.49387E-21,1.82164E-27,2.43084E-07,2.03181E-07,3.67964E-51,6.22981E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,3.35009,3.16294E-20,3.16294E-20,1.49604E-27,4.72991E-08,1.8554E-07,1.49795E-48,2.51175E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,3.52205,4.3463E-21,4.3463E-21,1.22805E-27,2.82552E-07,1.69614E-07,1.56906E-47,3.27959E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,3.70284,3.89314E-21,3.89313E-21,1.00851E-27,2.59048E-07,1.55718E-07,8.56514E-46,2.77727E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,3.89291,4.29582E-21,4.29582E-21,8.27912E-28,1.92725E-07,1.40776E-07,4.65526E-44,2.88335E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,4.09273,5.04198E-21,5.04198E-21,6.79564E-28,1.34781E-07,1.28661E-07,2.19797E-42,3.1696E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,4.30281,6.13683E-21,6.13683E-21,5.57679E-28,9.08741E-08,1.16289E-07,8.87645E-41,3.59773E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,4.52368,7.76474E-21,7.76474E-21,4.57799E-28,5.89587E-08,1.04359E-07,3.10268E-39,4.22794E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,4.75588,1.0447E-20,1.0447E-20,3.75658E-28,3.59586E-08,9.60177E-08,9.68806E-38,5.26325E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,5,1.66538E-20,1.66538E-20,3.08167E-28,1.85044E-08,8.32896E-08,3.03678E-36,7.73555E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,5.25665,5.79564E-20,5.79564E-20,2.52859E-28,4.36292E-09,7.83013E-08,1.77498E-34,2.47377E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,5.52648,4.81876E-20,4.81876E-20,2.07464E-28,4.30534E-09,7.02309E-08,2.13345E-33,1.88429E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,5.81015,8.71055E-20,8.71055E-20,1.7011E-28,1.95292E-09,6.53812E-08,4.83404E-32,3.11174E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,6.10839,3.0649E-19,3.0649E-19,1.39444E-28,4.54971E-10,5.41693E-08,1.86153E-30,9.9777E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,6.42193,2.01575E-19,2.01575E-19,1.14306E-28,5.67067E-10,4.98109E-08,1.17772E-29,5.96672E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,6.75157,1.65963E-19,1.65963E-19,9.37132E-29,5.64663E-10,4.8171E-08,8.24995E-29,4.45815E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,7.09813,1.94629E-19,1.94629E-19,7.67866E-29,3.94529E-10,4.37948E-08,7.32465E-28,4.73677E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,7.46248,4.79391E-19,4.79391E-19,6.28983E-29,1.31205E-10,3.92157E-08,1.22228E-26,1.05567E-16
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,7.84553,6.15509E-19,6.15509E-19,5.15413E-29,8.37377E-11,3.21196E-08,9.5664E-26,1.22519E-16
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,8.24824,2.98943E-19,2.98943E-19,4.22205E-29,1.41233E-10,2.8752E-08,2.56148E-25,5.37538E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,8.67162,3.46249E-19,3.46249E-19,3.45624E-29,9.98194E-11,2.89761E-08,1.48657E-24,5.62267E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,9.11674,7.57084E-20,7.57084E-20,2.82932E-29,3.73713E-10,2.60572E-08,1.48713E-24,1.11038E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,9.5847,3.95791E-20,3.95791E-20,2.31517E-29,5.84948E-10,1.15381E-08,3.26238E-24,5.24538E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,10.0767,2.94171E-20,2.94171E-20,1.89363E-29,6.43717E-10,1.60499E-08,9.37145E-24,3.52596E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,10.5939,3.05744E-20,3.05744E-20,1.54767E-29,5.06199E-10,1.53678E-08,3.48128E-23,3.3186E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,11.1377,1.33913E-19,1.33913E-19,1.26396E-29,9.43866E-11,1.31115E-08,5.05895E-22,1.31845E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,11.7094,6.5924E-20,6.5924E-20,1.04188E-29,1.58043E-10,2.16202E-09,7.69829E-22,5.89946E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,12.3105,6.46531E-20,6.46531E-20,8.47159E-30,1.31031E-10,3.8096E-09,2.18184E-21,5.27142E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,12.9424,5.12182E-20,5.12182E-20,6.91747E-30,1.35059E-10,1.33587E-08,4.68519E-21,3.81514E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,13.6067,3.70778E-20,3.70778E-20,5.64863E-30,1.52345E-10,1.44313E-09,8.65048E-21,2.53073E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,14.3051,2.3124E-20,2.3124E-20,4.60884E-30,1.9931E-10,1.1573E-08,1.29852E-20,1.45087E-18
